,SimGDA,SimGDA+M,AltGDA,AltGDA+M,EG,EG+M,AltEG,AltEG+M,OGD,OGD+M,AltOGD,AltOGD+M,AlexGDA,AlexGDA+M
0,33414,3011,312,218,408,262,561,264,405,209,255,137,199,61
1,46428,4192,439,200,316,274,423,297,306,227,192,171,150,79
2,44140,3939,410,230,390,216,540,165,388,107,246,87,189,55
3,40639,3648,379,171,274,196,357,201,258,177,163,118,127,51
4,44450,3964,405,229,382,346,534,378,386,297,243,211,190,103
5,41062,3637,372,165,260,234,318,243,239,203,148,147,108,45
6,46703,4196,435,154,234,180,297,189,213,151,146,115,106,57
7,37822,3333,339,121,174,148,195,159,161,126,116,97,68,40
8,43116,3869,402,158,242,180,312,195,221,163,146,114,106,48
9,50213,4499,464,161,234,206,294,177,216,147,156,111,102,43
10,39230,3534,369,160,246,180,318,192,226,159,148,118,114,56
11,48653,4384,458,177,268,242,339,273,246,209,161,154,120,70
12,44844,3961,400,323,592,400,864,321,619,155,392,110,295,64
13,35589,3208,336,178,300,212,417,207,296,179,188,128,148,57
14,36709,3286,345,219,376,336,519,366,373,289,236,205,185,101
15,44349,3953,407,173,274,226,351,249,251,186,162,144,126,69
16,45425,4062,421,137,196,144,228,156,175,120,127,91,80,43
17,41124,3629,361,144,198,176,210,186,192,136,131,106,75,41
18,48530,4312,445,192,312,180,411,168,291,138,187,105,147,48
19,50254,4524,468,150,188,140,228,147,185,116,128,90,81,39
20,38331,3447,359,192,328,244,429,246,324,210,197,151,138,58
21,39006,3461,351,179,290,252,393,276,283,213,178,153,139,75
22,35571,3143,330,277,514,346,741,279,530,141,336,93,254,58
23,36852,3341,345,165,264,204,351,216,254,181,161,130,125,55
24,44422,3954,403,222,366,352,507,369,363,304,230,206,180,102
25,52509,4706,486,178,274,244,339,258,251,202,167,150,114,54
26,37345,3371,350,143,226,158,282,171,206,145,134,100,99,49
27,45033,4056,421,149,208,174,189,180,199,137,145,101,66,42
28,49288,4376,448,146,176,132,192,141,169,115,114,84,65,43
29,41812,3733,388,149,224,192,282,183,206,141,135,105,98,42
