,SimGDA,SimGDA+M,AltGDA,AltGDA+M,EG,EG+M,AltEG,AltEG+M,OGD,OGD+M,AltOGD,AltOGD+M,AlexGDA,AlexGDA+M
0,1745,377,97,74,130,100,141,93,123,87,86,60,66,45
1,2079,445,113,78,142,114,153,99,135,98,93,68,71,49
2,2013,427,106,77,134,112,144,96,128,91,88,60,41,34
3,1932,412,104,75,146,118,156,105,137,104,96,67,73,47
4,2014,426,106,86,160,148,171,123,155,136,107,85,75,55
5,1923,409,103,71,120,108,114,90,115,99,70,62,53,44
6,2066,446,113,79,120,106,120,93,118,99,78,61,58,42
7,1852,404,96,77,124,122,132,108,129,117,91,74,60,44
8,1993,428,107,75,122,106,123,81,122,97,77,59,53,40
9,2155,463,116,93,154,134,171,132,162,129,114,84,78,51
10,1897,404,103,74,114,98,120,87,123,91,78,60,57,41
11,2118,453,113,79,132,106,135,90,121,89,83,65,63,46
12,2012,417,105,80,156,110,171,99,147,92,104,61,74,41
13,1806,387,97,71,120,112,126,96,119,97,79,63,52,41
14,1832,393,100,90,160,150,174,126,160,144,111,89,75,56
15,2005,429,107,69,118,104,105,87,111,90,67,60,49,40
16,2035,437,110,74,110,96,108,90,110,93,73,60,51,40
17,1916,399,101,86,132,130,138,117,137,124,99,78,62,47
18,2121,447,113,78,124,110,126,93,123,101,83,63,57,40
19,2156,462,116,81,126,120,141,111,132,115,92,72,64,44
20,1866,402,100,74,124,106,129,90,122,93,81,59,61,42
21,1877,397,101,71,134,100,144,96,127,92,88,58,66,48
22,1795,376,93,75,146,104,159,93,138,87,98,58,70,42
23,1836,394,100,75,146,118,156,105,138,100,97,65,71,46
24,2005,430,107,101,178,164,192,144,180,160,125,94,85,59
25,2208,469,119,81,132,112,123,93,129,100,76,65,58,44
26,1844,396,105,75,118,102,123,105,125,105,83,66,57,43
27,2029,437,110,86,128,120,129,111,136,122,100,74,58,45
28,2135,451,112,72,112,100,105,81,124,88,72,57,48,37
29,1962,413,104,89,152,138,168,126,159,119,110,80,76,49
